date,stock_code,open,high,low,close
2022-01-03,ASII,5675,5750,5625,5725
2022-01-04,ASII,5750,5875,5725,5775
2022-01-05,ASII,5725,5775,5550,5575
2022-01-06,ASII,5600,5675,5575,5675
2022-01-07,ASII,5725,5750,5650,5700
2022-01-10,ASII,5675,5725,5650,5650
2022-01-11,ASII,5700,5700,5650,5700
2022-01-12,ASII,5725,5725,5650,5725
2022-01-13,ASII,5725,5775,5675,5775
2022-01-14,ASII,5775,5800,5700,5725
2022-01-17,ASII,5775,5775,5650,5675
2022-01-18,ASII,5675,5725,5575,5650
2022-01-19,ASII,5650,5675,5575,5600
2022-01-20,ASII,5600,5625,5500,5525
2022-01-21,ASII,5525,5625,5500,5600
2022-01-24,ASII,5600,5625,5525,5525
2022-01-25,ASII,5500,5500,5375,5450
2022-01-26,ASII,5500,5500,5425,5450
2022-01-27,ASII,5425,5525,5400,5475
2022-01-28,ASII,5475,5525,5450,5475
2022-01-31,ASII,5475,5550,5450,5475
2022-02-02,ASII,5500,5525,5425,5500
2022-02-03,ASII,5500,5550,5450,5500
2022-02-04,ASII,5525,5525,5475,5500
2022-02-07,ASII,5500,5525,5450,5475
2022-02-08,ASII,5525,5700,5500,5550
2022-02-09,ASII,5550,5650,5475,5550
2022-02-10,ASII,5575,5625,5450,5450
2022-02-11,ASII,5450,5475,5400,5450
2022-02-14,ASII,5400,5425,5250,5300
2022-02-15,ASII,5300,5525,5300,5500
2022-02-16,ASII,5550,5600,5475,5475
2022-02-17,ASII,5500,5525,5425,5475
2022-02-18,ASII,5450,5625,5425,5600
2022-02-21,ASII,5625,5650,5550,5575
2022-02-22,ASII,5525,5575,5450,5575
2022-02-23,ASII,5575,5650,5525,5650
2022-02-24,ASII,5625,5775,5525,5700
2022-02-25,ASII,5700,5800,5650,5800
2022-03-01,ASII,5800,5950,5700,5700
2022-03-02,ASII,5650,5700,5500,5525
2022-03-04,ASII,5575,5675,5525,5625
2022-03-07,ASII,5600,5825,5550,5800
2022-03-08,ASII,6000,6550,5975,6250
2022-03-09,ASII,6500,6500,6225,6300
2022-03-10,ASII,6300,6300,6150,6250
2022-03-11,ASII,6175,6300,6125,6275
2022-03-14,ASII,6350,6425,6300,6375
2022-03-15,ASII,6425,6450,6275,6300
2022-03-16,ASII,6325,6400,6300,6400
2022-03-17,ASII,6400,6475,6350,6425
2022-03-18,ASII,6450,6450,6325,6400
2022-03-21,ASII,6450,6600,6450,6600
2022-03-22,ASII,6600,6600,6500,6575
2022-03-23,ASII,6575,6575,6450,6475
2022-03-24,ASII,6425,6575,6425,6575
2022-03-25,ASII,6550,6575,6375,6400
2022-03-28,ASII,6400,6775,6400,6700
2022-03-29,ASII,6600,6700,6550,6550
2022-03-30,ASII,6550,6650,6500,6650
2022-03-31,ASII,6675,6675,6575,6575
2022-04-01,ASII,6775,6775,6625,6700
2022-04-04,ASII,6775,6825,6675,6825
2022-04-05,ASII,6825,6900,6725,6900
2022-04-06,ASII,6825,7000,6800,7000
2022-04-07,ASII,6950,7000,6850,6900
2022-04-08,ASII,7000,7075,6900,7000
2022-04-11,ASII,6975,7000,6750,6850
2022-04-12,ASII,6875,6950,6825,6950
2022-04-13,ASII,6950,7000,6875,6975
2022-04-14,ASII,6975,7050,6875,6875
2022-04-18,ASII,6900,7050,6900,7000
2022-04-19,ASII,7050,7050,6800,6900
2022-04-20,ASII,6900,6975,6825,6900
2022-04-21,ASII,6925,7100,6900,7000
2022-04-22,ASII,6975,7100,6875,7050
