date,stock_code,open,high,low,close,volume
2020-01-02,ADRO,1555,1555,1490,1495,76612000
2020-01-03,ADRO,1495,1470,1425,1465,117795600
2020-01-06,ADRO,1465,1515,1450,1465,61423200
2020-01-07,ADRO,1465,1540,1460,1540,74336500
2020-01-08,ADRO,1540,1535,1505,1505,55121100
2020-01-09,ADRO,1505,1525,1475,1495,41270800
2020-01-10,ADRO,1495,1565,1515,1550,97200800
2020-01-13,ADRO,1550,1595,1555,1565,79898600
2020-01-14,ADRO,1565,1585,1535,1560,68815800
2020-01-15,ADRO,1560,1555,1475,1475,79941500
2020-01-16,ADRO,1475,1505,1455,1470,47679400
2020-01-17,ADRO,1470,1485,1460,1480,20952100
2020-01-20,ADRO,1480,1490,1430,1435,23993600
2020-01-21,ADRO,1435,1455,1400,1415,38058600
2020-01-22,ADRO,1415,1420,1360,1365,63630500
2020-01-23,ADRO,1365,1390,1320,1380,66076300
2020-01-24,ADRO,1380,1395,1370,1380,14852500
2020-01-27,ADRO,1380,1370,1290,1295,42333400
2020-01-28,ADRO,1295,1345,1260,1325,77945500
2020-01-29,ADRO,1325,1345,1300,1305,27119800
2020-01-30,ADRO,1305,1325,1280,1295,24536100
2020-01-31,ADRO,1295,1305,1225,1225,79503700
2020-02-03,ADRO,1225,1245,1180,1225,66293300
2020-02-04,ADRO,1225,1285,1235,1270,65979400
2020-02-05,ADRO,1270,1345,1295,1315,60602000
2020-02-06,ADRO,1315,1350,1280,1305,37379900
2020-02-07,ADRO,1305,1315,1285,1305,15026100
2020-02-10,ADRO,1305,1295,1265,1280,19636900
2020-02-11,ADRO,1280,1315,1275,1315,32034700
2020-02-12,ADRO,1315,1335,1315,1330,40092100
2020-02-13,ADRO,1330,1355,1295,1350,62528100
2020-02-14,ADRO,1350,1360,1310,1320,29880000
2020-02-17,ADRO,1320,1330,1305,1320,12413400
2020-02-18,ADRO,1320,1350,1315,1330,28647600
2020-02-19,ADRO,1330,1345,1290,1305,49522500
2020-02-20,ADRO,1305,1360,1310,1350,45664600
2020-02-21,ADRO,1350,1355,1310,1310,33041400
2020-02-24,ADRO,1310,1310,1270,1285,37626300
2020-02-25,ADRO,1285,1300,1260,1285,31970000
2020-02-26,ADRO,1285,1295,1250,1250,38644500
2020-02-27,ADRO,1250,1275,1155,1165,62491000
2020-02-28,ADRO,1165,1160,1085,1155,63533800
2020-03-02,ADRO,1155,1195,1100,1115,41125400
2020-03-03,ADRO,1115,1180,1125,1140,90994700
2020-03-04,ADRO,1140,1215,1110,1205,85031200
2020-03-05,ADRO,1205,1225,1155,1175,63958800
2020-03-06,ADRO,1175,1180,1140,1160,33637700
2020-03-09,ADRO,1160,1085,1000,1010,85414300
2020-03-10,ADRO,1010,1060,1010,1030,47800300
2020-03-11,ADRO,1030,1035,930,965,70759400
2020-03-12,ADRO,965,930,820,830,75896100
2020-03-13,ADRO,830,860,775,830,90075800
2020-03-16,ADRO,830,830,775,775,26742000
2020-03-17,ADRO,775,760,725,725,47571500
2020-03-18,ADRO,725,760,675,690,85489000
2020-03-19,ADRO,690,670,645,645,57290600
2020-03-20,ADRO,645,800,610,745,139182200
2020-03-23,ADRO,745,835,695,775,111577400
2020-03-24,ADRO,775,900,780,850,82445200
2020-03-26,ADRO,850,1010,870,965,120540900
2020-03-27,ADRO,965,1050,920,990,76999800
2020-03-30,ADRO,990,970,925,925,28451400
2020-03-31,ADRO,925,1020,925,990,83005000
2020-04-01,ADRO,990,1030,940,1020,56063700
2020-04-02,ADRO,1020,1055,970,1040,29924200
2020-04-03,ADRO,1040,1100,1040,1100,43071600
2020-04-06,ADRO,1100,1150,1080,1150,41495700
2020-04-07,ADRO,1150,1200,1075,1140,52492500
2020-04-08,ADRO,1140,1150,1065,1065,44442400
2020-04-09,ADRO,1065,1080,1000,1040,31567000
2020-04-13,ADRO,1040,1075,1020,1040,13653600
2020-04-14,ADRO,1040,1080,1040,1080,24122100
2020-04-15,ADRO,1080,1100,1010,1045,29124400
2020-04-16,ADRO,1045,1035,975,975,33908100
2020-04-17,ADRO,975,1050,990,1035,36048300
2020-04-20,ADRO,1035,1045,980,985,31892700
2020-04-21,ADRO,985,970,920,930,45011700
2020-04-22,ADRO,930,930,870,885,64670900
2020-04-23,ADRO,885,925,895,905,50027600
2020-04-24,ADRO,905,985,870,875,98736600
2020-04-27,ADRO,875,945,885,900,97943800
2020-04-28,ADRO,900,915,875,890,47890200
2020-04-29,ADRO,890,905,880,885,43090800
2020-04-30,ADRO,885,920,890,920,82626500
2020-05-04,ADRO,920,920,870,890,68085900
2020-05-05,ADRO,890,925,895,905,51891500
2020-05-06,ADRO,905,965,900,950,105354100
2020-05-08,ADRO,950,1030,955,1025,144477800
2020-05-11,ADRO,1025,1060,1025,1030,62095700
2020-05-12,ADRO,1030,1060,1000,1005,49628600
2020-05-13,ADRO,1005,1040,970,1000,43999100
2020-05-14,ADRO,1000,1025,930,945,89411900
2020-05-15,ADRO,945,970,910,925,38978300
2020-05-18,ADRO,925,1020,930,1020,76684300
2020-05-19,ADRO,1020,1065,990,1005,85706200
2020-05-20,ADRO,1005,1020,970,980,41027400
2020-05-26,ADRO,980,1020,975,1000,49777400
2020-05-27,ADRO,1000,1020,990,1000,47426900
2020-05-28,ADRO,1000,1075,1000,1030,137778200
2020-05-29,ADRO,1030,1100,1015,1100,139275700
2020-06-02,ADRO,1100,1185,1095,1145,123823700
2020-06-03,ADRO,1145,1180,1150,1165,89675400
2020-06-04,ADRO,1165,1150,1105,1120,100659200
2020-06-05,ADRO,1120,1130,1085,1100,73108200
2020-06-08,ADRO,1100,1175,1110,1160,88605200
2020-06-09,ADRO,1160,1240,1160,1180,117226600
2020-06-10,ADRO,1180,1180,1100,1100,65467500
2020-06-11,ADRO,1100,1110,1055,1070,31930900
2020-06-12,ADRO,1070,1070,1010,1060,49986300
2020-06-15,ADRO,1060,1085,1010,1020,35356800
2020-06-16,ADRO,1020,1085,1040,1075,48677100
2020-06-17,ADRO,1075,1095,1055,1070,38939600
2020-06-18,ADRO,1070,1075,1030,1030,59061200
2020-06-19,ADRO,1030,1060,1035,1040,70199400
2020-06-22,ADRO,1040,1055,1020,1030,38485700
2020-06-23,ADRO,1030,1050,990,1005,80075000
2020-06-24,ADRO,1005,1050,1010,1045,80781000
2020-06-25,ADRO,1045,1035,1005,1005,58913100
2020-06-26,ADRO,1005,1025,1010,1015,40144900
2020-06-29,ADRO,1015,1025,1000,1005,53482300
2020-06-30,ADRO,1005,1020,990,995,88016000
2020-07-01,ADRO,995,1045,990,1045,98514700
2020-07-02,ADRO,1045,1080,1045,1050,170254500
