date,stock_code,open,high,low,close,volume
2023-07-07,AMMN,1695,1820,1700,1755,411565100
2023-07-10,AMMN,1755,1765,1745,1750,59010700
2023-07-11,AMMN,1750,1760,1750,1750,34028600
2023-07-12,AMMN,1750,1765,1750,1765,27860100
2023-07-13,AMMN,1765,1765,1750,1760,41745700
2023-07-14,AMMN,1760,1795,1755,1780,36126300
2023-07-17,AMMN,1780,1805,1780,1800,42037800
2023-07-18,AMMN,1800,1935,1800,1875,64315500
2023-07-20,AMMN,1875,1915,1825,1845,38857400
2023-07-21,AMMN,1845,1885,1840,1875,33106100
2023-07-24,AMMN,1875,2030,1860,2010,58408400
2023-07-25,AMMN,2010,2310,1960,2300,78275300
2023-07-26,AMMN,2300,2410,2220,2280,57626800
2023-07-27,AMMN,2280,2480,2250,2470,65302700
2023-07-28,AMMN,2470,2810,2460,2660,94264400
2023-07-31,AMMN,2660,2850,2680,2810,72440600
2023-08-01,AMMN,2810,3230,2390,2800,179828300
2023-08-02,AMMN,2800,2950,2550,2830,142828200
2023-08-03,AMMN,2830,2880,2790,2830,51237100
2023-08-04,AMMN,2830,2940,2830,2870,53097600
2023-08-07,AMMN,2870,2950,2850,2930,45436600
2023-08-08,AMMN,2930,2970,2920,2960,54717400
2023-08-09,AMMN,2960,3020,2960,3000,55024200
2023-08-10,AMMN,3000,3040,2800,3000,54338800
2023-08-11,AMMN,3000,3020,2990,3000,27254100
2023-08-14,AMMN,3000,3080,3000,3080,37538100
2023-08-15,AMMN,3080,3200,3070,3190,48297700
2023-08-16,AMMN,3190,3300,3170,3300,52448700
2023-08-18,AMMN,3300,3380,3300,3350,39653600
2023-08-21,AMMN,3350,3440,3340,3440,42819200
2023-08-22,AMMN,3440,3610,3430,3610,77881500
2023-08-23,AMMN,3610,3840,3610,3830,71234600
2023-08-24,AMMN,3830,4020,3540,3950,102057200
2023-08-25,AMMN,3950,4140,3930,4140,64624300
2023-08-28,AMMN,4140,4290,4090,4280,65825700
2023-08-29,AMMN,4280,4470,4250,4470,95744500
2023-08-30,AMMN,4470,4540,4390,4500,100315000
2023-08-31,AMMN,4500,4550,4460,4530,51696900
2023-09-01,AMMN,4530,4870,4440,4750,84973000
2023-09-04,AMMN,4750,4980,4760,4970,72654600
2023-09-05,AMMN,4970,5050,4930,4990,59236900
2023-09-06,AMMN,4990,5250,4980,5200,74615800
2023-09-07,AMMN,5200,5425,5225,5400,60842800
2023-09-08,AMMN,5400,5650,5425,5600,68316700
2023-09-11,AMMN,5600,5800,4800,5500,154716900
2023-09-12,AMMN,5500,5825,5500,5800,68802100
2023-09-13,AMMN,5800,5950,5550,5825,122386600
2023-09-14,AMMN,5825,5875,5725,5775,60667800
2023-09-15,AMMN,5775,5825,5375,5600,83812900
2023-09-18,AMMN,5600,5625,5025,5150,121594100
2023-09-19,AMMN,5150,5450,5050,5350,75205100
2023-09-20,AMMN,5350,5425,5225,5275,34052700
2023-09-21,AMMN,5275,5325,5150,5275,40805600
2023-09-22,AMMN,5275,5475,5225,5450,43107600
2023-09-25,AMMN,5450,5700,5450,5675,52942900
2023-09-26,AMMN,5675,5800,5525,5675,65325700
2023-09-27,AMMN,5675,5750,5575,5650,43138000
2023-09-29,AMMN,5650,5975,5650,5925,79756800
2023-10-02,AMMN,5925,6100,5600,6100,76950900
2023-10-03,AMMN,6100,6375,6075,6300,59090100
2023-10-04,AMMN,6300,6400,5925,6150,92665100
2023-10-05,AMMN,6150,6325,6050,6300,54846800
2023-10-06,AMMN,6300,6325,6125,6275,52587900
2023-10-09,AMMN,6275,6475,6100,6425,78633500
2023-10-10,AMMN,6425,6525,6375,6500,45848900
2023-10-11,AMMN,6500,6775,6475,6700,70530000
2023-10-12,AMMN,6700,6800,6575,6675,54294000
2023-10-13,AMMN,6675,6725,6450,6600,36895700
2023-10-16,AMMN,6600,6625,6125,6150,70221000
2023-10-17,AMMN,6150,6275,5875,6250,61106500
2023-10-18,AMMN,6250,6475,6250,6375,50650600
2023-10-19,AMMN,6375,6475,6325,6450,52067200
2023-10-20,AMMN,6450,6600,6425,6575,49020700
2023-10-23,AMMN,6575,6625,6450,6575,44638600
2023-10-24,AMMN,6575,6600,6400,6425,42092900
2023-10-25,AMMN,6425,6550,6425,6500,36480300
2023-10-26,AMMN,6500,6675,6500,6550,38386000
2023-10-27,AMMN,6550,6700,6525,6675,49725600
2023-10-30,AMMN,6675,6800,6650,6750,34993600
2023-10-31,AMMN,6750,6750,6450,6500,68381100
2023-11-01,AMMN,6500,6650,6250,6650,56756900
2023-11-02,AMMN,6650,6925,6600,6900,68254900
2023-11-03,AMMN,6900,7000,6600,6700,40356800
2023-11-06,AMMN,6700,6850,6675,6825,33405300
2023-11-07,AMMN,6825,6950,6800,6850,39376500
2023-11-08,AMMN,6850,6900,6725,6775,45121600
2023-11-09,AMMN,6775,6775,6550,6650,39332200
2023-11-10,AMMN,6650,6875,6600,6825,46087800
2023-11-13,AMMN,6825,7125,6800,7100,63141200
2023-11-14,AMMN,7100,7275,6950,7150,63771100
2023-11-15,AMMN,7150,7325,7150,7225,79002900
2023-11-16,AMMN,7225,7300,7150,7225,47483300
2023-11-17,AMMN,7225,7650,7200,7575,130525600
2023-11-20,AMMN,7575,7725,7050,7300,137361800
2023-11-21,AMMN,7300,7400,7075,7300,60435900
2023-11-22,AMMN,7300,7400,7025,7050,77439300
2023-11-23,AMMN,7050,7200,6750,6900,79040300
2023-11-24,AMMN,6900,7175,6925,7150,66381500
2023-11-27,AMMN,7150,7575,7075,7550,80956800
2023-11-28,AMMN,7550,7800,7500,7725,102447400
2023-11-29,AMMN,7725,7875,7650,7775,80976900
2023-11-30,AMMN,7775,8350,7200,7200,619636700
2023-12-01,AMMN,7200,7200,5850,5900,286219300
2023-12-04,AMMN,5900,6450,5900,6375,85147500
2023-12-05,AMMN,6375,6675,6300,6600,59549000
2023-12-06,AMMN,6600,6675,6350,6425,43290300
2023-12-07,AMMN,6425,6575,6225,6475,58964600
2023-12-08,AMMN,6475,6500,6300,6450,61148900
2023-12-11,AMMN,6450,6825,6350,6825,81028900
2023-12-12,AMMN,6825,7050,6725,7000,66874500
2023-12-13,AMMN,7000,7200,6925,7125,57361000
2023-12-14,AMMN,7125,7200,6600,6700,81099100
2023-12-15,AMMN,6700,6800,6325,6325,338347300
2023-12-18,AMMN,6325,6525,5900,6400,61075400
2023-12-19,AMMN,6400,6575,6350,6475,36252900
2023-12-20,AMMN,6475,6550,6325,6500,30420800
2023-12-21,AMMN,6500,6525,6275,6300,27335400
2023-12-22,AMMN,6300,6650,6200,6625,34740200
2023-12-27,AMMN,6625,6825,6375,6450,31891500
2023-12-28,AMMN,6450,6475,6150,6350,33640900
2023-12-29,AMMN,6350,6550,6325,6550,25384200
2024-01-02,AMMN,6550,6600,6375,6600,25419400
2024-01-03,AMMN,6600,6700,6450,6450,21741400
2024-01-04,AMMN,6450,6475,6325,6425,31477900
2024-01-05,AMMN,6425,6550,6250,6475,40365700
2024-01-08,AMMN,6475,6600,6450,6550,31413800
2024-01-09,AMMN,6550,6725,6525,6650,34897300
2024-01-10,AMMN,6650,6975,6600,6900,52445300
2024-01-11,AMMN,6900,7425,6900,7300,83791100
2024-01-12,AMMN,7300,7350,7050,7325,37502400
2024-01-15,AMMN,7325,7525,7275,7525,45930200
2024-01-16,AMMN,7525,7550,7325,7425,28214800
2024-01-17,AMMN,7425,7425,7175,7200,35689900
2024-01-18,AMMN,7200,7500,7175,7475,36068100
2024-01-19,AMMN,7475,7575,7375,7475,26218000
2024-01-22,AMMN,7475,7475,7200,7475,35069100
2024-01-23,AMMN,7475,7675,7450,7675,41141000
2024-01-24,AMMN,7675,7675,7350,7500,40526800
2024-01-25,AMMN,7500,7625,7450,7525,27884100
2024-01-26,AMMN,7525,7525,7250,7300,27085100
2024-01-29,AMMN,7300,7350,7175,7300,27879500
2024-01-30,AMMN,7300,7600,7300,7550,33460800
2024-01-31,AMMN,7550,7600,7450,7525,26597200
2024-02-01,AMMN,7525,7650,7300,7600,38446600
2024-02-02,AMMN,7600,7600,7375,7600,29645500
2024-02-05,AMMN,7600,7625,7500,7525,24120700
2024-02-06,AMMN,7525,7600,7475,7575,27896800
2024-02-07,AMMN,7575,7600,7500,7525,23420300
2024-02-12,AMMN,7525,7750,7475,7750,43126700
2024-02-13,AMMN,7750,7750,7600,7600,24713100
2024-02-15,AMMN,7600,7950,7550,7950,51037900
2024-02-16,AMMN,7950,8000,7850,7900,27107600
2024-02-19,AMMN,7900,7900,7725,7825,35692300
2024-02-20,AMMN,7825,8050,7825,8025,43164000
2024-02-21,AMMN,8025,8125,7750,7800,42663500
2024-02-22,AMMN,7800,8050,7800,7900,28810200
2024-02-23,AMMN,7900,8050,7800,8000,27654500
2024-02-26,AMMN,8000,8100,7950,8050,29298400
2024-02-27,AMMN,8050,8100,7925,8100,32315200
2024-02-28,AMMN,8100,8100,7900,8000,24832800
2024-02-29,AMMN,8000,8500,7950,8500,106586000
2024-03-01,AMMN,8500,8750,8350,8500,34380100
2024-03-04,AMMN,8500,8625,8425,8500,19451400
2024-03-05,AMMN,8500,8575,8350,8525,31948900
2024-03-06,AMMN,8525,8600,8400,8400,25290100
2024-03-07,AMMN,8400,8500,8225,8500,33346400
2024-03-08,AMMN,8500,8525,8275,8375,22712200
2024-03-13,AMMN,8375,8650,8325,8650,41850600
2024-03-14,AMMN,8650,8725,8575,8725,34293600
2024-03-15,AMMN,8725,8800,8625,8725,57379600
2024-03-18,AMMN,8725,8850,8550,8850,35428100
2024-03-19,AMMN,8850,9000,8800,8900,34011000
2024-03-20,AMMN,8900,9000,8775,8900,31118400
2024-03-21,AMMN,8900,8950,8525,8850,34024100
2024-03-22,AMMN,8850,8825,8625,8775,27123500
2024-03-25,AMMN,8775,8900,8700,8850,29267300
2024-03-26,AMMN,8850,8850,8625,8675,27160500
2024-03-27,AMMN,8675,8800,8600,8600,26627700
2024-03-28,AMMN,8600,8750,8325,8750,27351100
2024-04-01,AMMN,8750,8850,8700,8850,29841300
2024-04-02,AMMN,8850,8850,8700,8775,24987900
2024-04-03,AMMN,8775,8775,8550,8700,28137300
2024-04-04,AMMN,8700,8900,8550,8850,41583000
2024-04-05,AMMN,8850,8975,8775,8950,24987900
2024-04-16,AMMN,8950,8950,8650,8750,29762000
2024-04-17,AMMN,8750,8850,8600,8800,35538800
2024-04-18,AMMN,8800,8950,8725,8950,39676000
2024-04-19,AMMN,8950,8975,8825,8875,28259100
2024-04-22,AMMN,8875,8925,8750,8750,24993900
2024-04-23,AMMN,8750,8950,8725,8925,32235000
2024-04-24,AMMN,8925,9150,8900,9050,37155900
2024-04-25,AMMN,9050,9500,9050,9500,58909100
2024-04-26,AMMN,9500,9725,9350,9475,39340100
2024-04-29,AMMN,9475,9550,9225,9450,25275500
2024-04-30,AMMN,9450,9950,9425,9700,34359000
2024-05-02,AMMN,9700,9875,9600,9775,24976000
2024-05-03,AMMN,9775,9825,9600,9775,22239900
2024-05-06,AMMN,9775,9975,9750,9900,26261400
2024-05-07,AMMN,9900,10000,9750,9775,25657600
2024-05-08,AMMN,9775,9825,9475,9500,31551200
2024-05-13,AMMN,9500,9900,9500,9825,26744900
2024-05-14,AMMN,9825,9900,9725,9825,23511800
2024-05-15,AMMN,9825,10325,9825,10200,28613700
2024-05-16,AMMN,10200,10500,10175,10350,27581000
2024-05-17,AMMN,10350,10550,10225,10250,24804200
2024-05-20,AMMN,10250,10675,10300,10500,26314900
2024-05-21,AMMN,10500,10775,10450,10500,25727100
2024-05-22,AMMN,10500,10750,10475,10550,21413500
2024-05-27,AMMN,10550,12650,10950,12650,73567600
2024-05-28,AMMN,12650,15000,12500,12900,93832000
2024-05-29,AMMN,12900,14000,13125,13200,52467800
2024-05-30,AMMN,13200,13200,12150,12450,56954900
2024-05-31,AMMN,12450,12700,11225,12075,129941900
2024-06-03,AMMN,12075,12500,11600,11725,26567200
2024-06-04,AMMN,11725,12900,11725,12775,40589700
