date,stock_code,open,high,low,close,volume
2020-01-02,AMRT,880,880,855,875,9600
2020-01-03,AMRT,875,880,855,865,51800
2020-01-06,AMRT,865,865,845,845,42000
2020-01-07,AMRT,845,850,840,840,20500
2020-01-08,AMRT,840,855,840,855,568500
2020-01-09,AMRT,855,855,840,850,2565400
2020-01-10,AMRT,850,870,840,850,2673200
2020-01-13,AMRT,850,870,850,850,18944200
2020-01-14,AMRT,850,855,845,855,16300
2020-01-15,AMRT,855,855,855,855,8400
2020-01-16,AMRT,855,870,855,865,900
2020-01-17,AMRT,865,870,850,850,5100
2020-01-20,AMRT,850,850,850,850,5900
2020-01-21,AMRT,850,855,845,845,1600
2020-01-22,AMRT,845,855,845,850,107700
2020-01-23,AMRT,850,860,850,855,2700
2020-01-24,AMRT,855,860,845,855,1700
2020-01-27,AMRT,855,855,850,850,9700
2020-01-28,AMRT,850,850,820,820,2353900
2020-01-29,AMRT,820,830,820,825,28800
2020-01-30,AMRT,825,890,825,825,29600
2020-01-31,AMRT,825,825,800,800,1062900
2020-02-03,AMRT,800,825,800,815,3800
2020-02-04,AMRT,815,815,800,810,520400
2020-02-05,AMRT,810,815,810,810,8000
2020-02-06,AMRT,810,810,800,805,6200
2020-02-07,AMRT,805,820,800,800,2477000
2020-02-10,AMRT,800,880,800,800,1291600
2020-02-11,AMRT,800,815,800,805,12500
2020-02-12,AMRT,805,805,800,800,4325400
2020-02-13,AMRT,800,810,800,805,5700
2020-02-14,AMRT,805,810,805,810,1200
2020-02-17,AMRT,810,820,805,805,3500
2020-02-18,AMRT,805,805,770,785,7900
2020-02-19,AMRT,785,810,785,810,3700
2020-02-20,AMRT,810,860,800,850,34600
2020-02-21,AMRT,850,845,800,800,6300
2020-02-24,AMRT,800,825,820,820,2600
2020-02-25,AMRT,820,825,805,805,3800
2020-02-26,AMRT,805,810,800,800,7400
2020-02-27,AMRT,800,825,800,800,113600
2020-02-28,AMRT,800,820,770,775,18100
2020-03-02,AMRT,775,805,775,795,9200
2020-03-03,AMRT,795,810,795,810,4900
2020-03-04,AMRT,810,825,775,780,137600
2020-03-05,AMRT,780,800,780,790,17400
2020-03-06,AMRT,790,795,775,775,627000
2020-03-09,AMRT,775,790,775,775,3660300
2020-03-10,AMRT,775,780,765,765,506600
2020-03-11,AMRT,765,785,755,755,471200
2020-03-12,AMRT,755,785,750,750,4095300
2020-03-13,AMRT,750,750,710,715,3329500
2020-03-16,AMRT,715,745,715,715,36300
2020-03-17,AMRT,715,715,715,715,2700
2020-03-18,AMRT,715,730,700,715,72300
2020-03-19,AMRT,715,715,700,700,9100
2020-03-20,AMRT,700,730,700,700,25000
2020-03-23,AMRT,700,700,660,660,1800
2020-03-24,AMRT,660,660,615,625,525600
2020-03-26,AMRT,625,730,640,700,38100
2020-03-27,AMRT,700,730,710,715,15400
2020-03-30,AMRT,715,715,695,700,16700
2020-03-31,AMRT,700,800,660,800,184100
2020-04-01,AMRT,800,805,745,755,86900
2020-04-02,AMRT,755,795,710,795,15900
2020-04-03,AMRT,795,825,795,795,106500
2020-04-06,AMRT,795,805,760,795,97500
