date,stock_code,open,high,low,close,volume
2020-01-02,ASII,6925,6925,6775,6875,15008600
2020-01-03,ASII,6875,6950,6825,6950,19068800
2020-01-06,ASII,6950,6900,6750,6750,22261900
2020-01-07,ASII,6750,6825,6675,6775,27963000
2020-01-08,ASII,6775,6825,6700,6775,15150400
2020-01-09,ASII,6775,6875,6750,6875,19691200
2020-01-10,ASII,6875,6925,6825,6825,17687600
2020-01-13,ASII,6825,6925,6825,6925,29585200
2020-01-14,ASII,6925,7175,6925,7175,41214400
2020-01-15,ASII,7175,7250,7025,7200,38535100
2020-01-16,ASII,7200,7200,7075,7125,38504400
2020-01-17,ASII,7125,7150,7000,7075,26714800
2020-01-20,ASII,7075,7125,6975,7000,22389100
2020-01-21,ASII,7000,7025,6925,7025,12520300
2020-01-22,ASII,7025,7075,6975,7000,20100300
2020-01-23,ASII,7000,7100,7000,7050,18020200
2020-01-24,ASII,7050,7050,6975,6975,13710000
2020-01-27,ASII,6975,6975,6700,6725,17470800
2020-01-28,ASII,6725,6825,6650,6825,23466100
2020-01-29,ASII,6825,6850,6750,6825,12646100
2020-01-30,ASII,6825,6800,6625,6625,25324800
2020-01-31,ASII,6625,6675,6350,6350,66460400
2020-02-03,ASII,6350,6425,6250,6275,34538400
2020-02-04,ASII,6275,6450,6300,6400,46272800
2020-02-05,ASII,6400,6500,6300,6400,32227100
2020-02-06,ASII,6400,6525,6425,6500,26015800
2020-02-07,ASII,6500,6550,6400,6400,13918700
2020-02-10,ASII,6400,6400,6175,6200,45366900
2020-02-11,ASII,6200,6300,6050,6100,54325000
2020-02-12,ASII,6100,6100,5925,5975,51100700
2020-02-13,ASII,5975,6025,5925,5950,33021700
2020-02-14,ASII,5950,6100,5925,6100,60901000
2020-02-17,ASII,6100,6175,6050,6100,16567600
2020-02-18,ASII,6100,6200,6050,6100,27960300
2020-02-19,ASII,6100,6250,6150,6250,35186100
2020-02-20,ASII,6250,6275,6125,6275,37995400
2020-02-21,ASII,6275,6300,6150,6200,33804700
2020-02-24,ASII,6200,6150,6025,6100,34190600
2020-02-25,ASII,6100,6275,5975,6225,40723200
2020-02-26,ASII,6225,6150,6050,6050,34453700
2020-02-27,ASII,6050,6100,5950,5950,44801100
2020-02-28,ASII,5950,5850,5525,5525,100693900
2020-03-02,ASII,5525,5850,5625,5700,63765800
2020-03-03,ASII,5700,5975,5775,5900,53817300
2020-03-04,ASII,5900,6025,5875,5975,43566600
2020-03-05,ASII,5975,6050,5875,6050,40537300
2020-03-06,ASII,6050,5950,5675,5675,31282500
2020-03-09,ASII,5675,5500,5025,5025,87904100
2020-03-10,ASII,5025,5325,5100,5150,86444600
2020-03-11,ASII,5150,5175,5050,5125,45134700
2020-03-12,ASII,5125,5025,4820,4910,64824200
2020-03-13,ASII,4910,4960,4570,4870,98966100
2020-03-16,ASII,4870,4770,4530,4590,55655900
2020-03-17,ASII,4590,4600,4270,4270,67166600
2020-03-18,ASII,4270,4350,3980,4150,61972000
2020-03-19,ASII,4150,4020,3860,3860,27066700
2020-03-20,ASII,3860,3900,3590,3780,141147800
2020-03-23,ASII,3780,3780,3520,3520,40318500
2020-03-24,ASII,3520,3610,3280,3280,89502100
2020-03-26,ASII,3280,3680,3220,3620,180290700
2020-03-27,ASII,3620,4360,3650,4080,150312000
2020-03-30,ASII,4080,4080,3800,3800,45490800
2020-03-31,ASII,3800,3980,3740,3900,62534800
2020-04-01,ASII,3900,4090,3650,3770,78042900
2020-04-02,ASII,3770,3930,3580,3930,39717300
2020-04-03,ASII,3930,4050,3860,3900,42577100
2020-04-06,ASII,3900,4040,3880,4030,71205800
2020-04-07,ASII,4030,4250,3960,4060,79018000
2020-04-08,ASII,4060,4030,3810,3850,55980400
2020-04-09,ASII,3850,4120,3870,4090,53526100
2020-04-13,ASII,4090,4150,3920,3960,27520900
2020-04-14,ASII,3960,4030,3920,3960,64571400
2020-04-15,ASII,3960,4000,3800,3820,86149800
2020-04-16,ASII,3820,3780,3620,3620,61494300
2020-04-17,ASII,3620,3840,3680,3800,78593000
2020-04-20,ASII,3800,3830,3710,3720,50406600
2020-04-21,ASII,3720,3740,3610,3640,36590700
2020-04-22,ASII,3640,3660,3450,3640,76750500
2020-04-23,ASII,3640,3790,3650,3760,85068700
2020-04-24,ASII,3760,3760,3610,3630,49597000
2020-04-27,ASII,3630,3760,3570,3710,45682200
2020-04-28,ASII,3710,3790,3630,3740,53532700
2020-04-29,ASII,3740,3780,3650,3690,40557200
2020-04-30,ASII,3690,3860,3720,3850,92257000
