date,stock_code,open,high,low,close,volume
2020-01-02,BBCA,33425,33900,33400,33450,9889000
2020-01-03,BBCA,33450,34000,33625,34000,9551100
2020-01-06,BBCA,34000,33750,33450,33675,5460000
2020-01-07,BBCA,33675,33850,33650,33700,9004500
2020-01-08,BBCA,33700,33725,33350,33400,10738500
2020-01-09,BBCA,33400,33775,33650,33700,8072700
2020-01-10,BBCA,33700,34125,33550,33625,14672400
2020-01-13,BBCA,33625,33800,33675,33725,13571000
2020-01-14,BBCA,33725,34425,33700,34350,18716400
2020-01-15,BBCA,34350,35300,34000,34175,15124700
2020-01-16,BBCA,34175,34450,33975,34250,17786300
2020-01-17,BBCA,34250,34450,34000,34375,7649900
2020-01-20,BBCA,34375,34875,34150,34175,18710900
2020-01-21,BBCA,34175,34475,34125,34150,20796900
2020-01-22,BBCA,34150,34475,34175,34200,18862300
2020-01-23,BBCA,34200,34475,34150,34200,17545600
2020-01-24,BBCA,34200,34400,34050,34050,13930700
2020-01-27,BBCA,34050,34700,34075,34200,7935800
2020-01-28,BBCA,34200,34225,33775,33950,16523000
2020-01-29,BBCA,33950,34225,33850,33925,8764200
2020-01-30,BBCA,33925,34225,33650,33700,14398000
2020-01-31,BBCA,33700,34025,32400,32400,32627300
2020-02-03,BBCA,32400,32925,31850,32200,29959400
2020-02-04,BBCA,32200,33100,32600,33000,22663300
2020-02-05,BBCA,33000,33900,33250,33650,24600500
2020-02-06,BBCA,33650,33900,33400,33700,30938700
2020-02-07,BBCA,33700,33900,33525,33800,16521800
2020-02-10,BBCA,33800,33925,33150,33925,13315700
2020-02-11,BBCA,33925,33925,33725,33900,15505300
2020-02-12,BBCA,33900,34000,33800,34000,13994300
2020-02-13,BBCA,34000,34100,33700,33950,9947400
2020-02-14,BBCA,33950,33975,33375,33400,29405700
2020-02-17,BBCA,33400,33750,33400,33600,23063800
2020-02-18,BBCA,33600,33600,33350,33475,19687300
2020-02-19,BBCA,33475,33800,33325,33475,14918800
2020-02-20,BBCA,33475,33475,32825,32975,27344900
2020-02-21,BBCA,32975,33300,32975,33075,19652200
2020-02-24,BBCA,33075,33000,32550,32625,16982000
2020-02-25,BBCA,32625,32800,32550,32650,17289300
2020-02-26,BBCA,32650,32675,32100,32100,18564900
2020-02-27,BBCA,32100,32375,31000,31450,25850900
2020-02-28,BBCA,31450,31450,30175,31450,33989300
2020-03-02,BBCA,31450,31450,30175,30400,28974300
2020-03-03,BBCA,30400,31750,31000,31600,22932700
2020-03-04,BBCA,31600,32500,31300,32200,16605000
2020-03-05,BBCA,32200,32700,31700,32175,15516600
2020-03-06,BBCA,32175,31750,31000,31000,15567100
2020-03-09,BBCA,31000,30200,28925,28925,28177900
2020-03-10,BBCA,28925,30050,29200,29625,26733400
2020-03-11,BBCA,29625,29900,28950,29250,18640900
2020-03-12,BBCA,29250,28200,27300,27800,25969100
2020-03-13,BBCA,27800,28750,25875,28300,42338000
2020-03-16,BBCA,28300,28300,26575,27525,30109700
2020-03-17,BBCA,27525,27525,25600,25600,42440000
2020-03-18,BBCA,25600,26900,23825,25000,36010700
2020-03-19,BBCA,25000,24975,23250,23250,52883800
2020-03-20,BBCA,23250,26925,21625,23675,67026400
2020-03-23,BBCA,23675,25000,22025,22150,43568700
2020-03-24,BBCA,22150,24975,22250,22500,50794200
2020-03-26,BBCA,22500,26975,23250,26400,66326600
2020-03-27,BBCA,26400,29475,26775,27550,53936600
2020-03-30,BBCA,27550,27775,25775,27475,31992900
2020-03-31,BBCA,27475,28550,27425,27625,36527700
2020-04-01,BBCA,27625,28750,27125,27400,30566300
2020-04-02,BBCA,27400,27350,26800,27050,27324700
2020-04-03,BBCA,27050,27650,26825,27475,22101200
2020-04-06,BBCA,27475,28700,27475,28675,15636800
2020-04-07,BBCA,28675,30500,27900,28275,29830700
2020-04-08,BBCA,28275,28300,27400,28175,21222300
2020-04-09,BBCA,28175,28475,27500,27975,17999400
2020-04-13,BBCA,27975,28075,27400,27500,11608600
2020-04-14,BBCA,27500,27950,27225,27575,19159200
2020-04-15,BBCA,27575,28150,27225,27425,19068400
2020-04-16,BBCA,27425,27600,25925,26200,35398100
2020-04-17,BBCA,26200,27225,26400,27125,32187100
2020-04-20,BBCA,27125,27500,26650,26775,18148800
2020-04-21,BBCA,26775,26775,25800,25800,14686200
