date,stock_code,open,high,low,close,volume
2020-01-02,KLBF,1620,1635,1600,1615,14075700
2020-01-03,KLBF,1615,1635,1610,1635,20606000
2020-01-06,KLBF,1635,1640,1615,1640,10231400
2020-01-07,KLBF,1640,1635,1600,1635,17153100
2020-01-08,KLBF,1635,1615,1585,1585,11666700
2020-01-09,KLBF,1585,1600,1570,1600,13555900
2020-01-10,KLBF,1600,1615,1580,1600,15949700
2020-01-13,KLBF,1600,1615,1590,1600,12854000
2020-01-14,KLBF,1600,1610,1565,1585,24032800
2020-01-15,KLBF,1585,1590,1560,1580,23321300
2020-01-16,KLBF,1580,1680,1565,1665,29672400
2020-01-17,KLBF,1665,1665,1600,1615,26629600
2020-01-20,KLBF,1615,1635,1580,1620,8492800
2020-01-21,KLBF,1620,1635,1605,1610,4057400
2020-01-22,KLBF,1610,1620,1570,1590,12417900
2020-01-23,KLBF,1590,1590,1555,1575,14530800
2020-01-24,KLBF,1575,1570,1540,1540,13044800
2020-01-27,KLBF,1540,1560,1510,1520,10525000
2020-01-28,KLBF,1520,1520,1485,1500,15578300
2020-01-29,KLBF,1500,1535,1490,1525,12069700
2020-01-30,KLBF,1525,1545,1510,1515,12903500
2020-01-31,KLBF,1515,1535,1430,1430,36468300
2020-02-03,KLBF,1430,1485,1410,1470,15229400
2020-02-04,KLBF,1470,1490,1470,1480,16757500
2020-02-05,KLBF,1480,1485,1470,1485,14550100
2020-02-06,KLBF,1485,1485,1455,1460,16990900
2020-02-07,KLBF,1460,1485,1460,1470,12388300
2020-02-10,KLBF,1470,1485,1450,1480,16341600
2020-02-11,KLBF,1480,1480,1450,1460,6665900
2020-02-12,KLBF,1460,1450,1405,1410,40079300
2020-02-13,KLBF,1410,1410,1360,1370,29853100
2020-02-14,KLBF,1370,1400,1360,1390,10208800
2020-02-17,KLBF,1390,1405,1375,1390,5852800
2020-02-18,KLBF,1390,1475,1390,1395,22990100
2020-02-19,KLBF,1395,1455,1400,1435,13279400
2020-02-20,KLBF,1435,1465,1400,1420,13565400
2020-02-21,KLBF,1420,1425,1365,1365,30858700
2020-02-24,KLBF,1365,1390,1340,1355,21385300
2020-02-25,KLBF,1355,1400,1295,1295,23418400
2020-02-26,KLBF,1295,1330,1270,1285,47271500
2020-02-27,KLBF,1285,1295,1210,1250,39329700
2020-02-28,KLBF,1250,1225,1175,1220,44307700
2020-03-02,KLBF,1220,1265,1185,1195,31720700
2020-03-03,KLBF,1195,1235,1205,1210,34175900
2020-03-04,KLBF,1210,1290,1210,1275,30659400
2020-03-05,KLBF,1275,1340,1295,1330,38274500
2020-03-06,KLBF,1330,1325,1235,1235,25366200
2020-03-09,KLBF,1235,1220,1140,1140,48812000
2020-03-10,KLBF,1140,1210,1145,1155,38897600
2020-03-11,KLBF,1155,1180,1100,1115,35408000
2020-03-12,KLBF,1115,1085,1040,1045,23037600
2020-03-13,KLBF,1045,1110,975,1040,50445900
2020-03-16,KLBF,1040,1125,995,1000,59267400
2020-03-17,KLBF,1000,1045,955,995,72013900
2020-03-18,KLBF,995,1080,1000,1045,56301900
2020-03-19,KLBF,1045,1055,975,975,40775100
2020-03-20,KLBF,975,990,915,980,83889600
2020-03-23,KLBF,980,980,915,915,40907000
2020-03-24,KLBF,915,950,855,865,64666100
2020-03-26,KLBF,865,1025,830,950,114141000
2020-03-27,KLBF,950,1160,960,1010,180228800
2020-03-30,KLBF,1010,1055,940,1045,59372100
2020-03-31,KLBF,1045,1235,1055,1200,104586800
2020-04-01,KLBF,1200,1290,1150,1165,111236300
2020-04-02,KLBF,1165,1285,1110,1285,63583600
2020-04-03,KLBF,1285,1300,1230,1250,59542900
2020-04-06,KLBF,1250,1290,1225,1270,35382900
2020-04-07,KLBF,1270,1310,1190,1230,68562800
2020-04-08,KLBF,1230,1230,1145,1145,57568300
2020-04-09,KLBF,1145,1175,1085,1140,58108500
2020-04-13,KLBF,1140,1165,1100,1100,39794600
2020-04-14,KLBF,1100,1190,1110,1185,42772000
2020-04-15,KLBF,1185,1245,1185,1210,50981100
2020-04-16,KLBF,1210,1210,1135,1145,42548300
2020-04-17,KLBF,1145,1210,1170,1195,70564600
2020-04-20,KLBF,1195,1235,1185,1200,44882900
2020-04-21,KLBF,1200,1225,1155,1210,34694200
2020-04-22,KLBF,1210,1290,1180,1250,66130900
2020-04-23,KLBF,1250,1285,1230,1265,51439800
2020-04-24,KLBF,1265,1265,1245,1255,43175900
2020-04-27,KLBF,1255,1330,1255,1330,38936000
2020-04-28,KLBF,1330,1445,1320,1445,61167100
2020-04-29,KLBF,1445,1480,1445,1470,52010200
2020-04-30,KLBF,1470,1500,1415,1440,53666000
2020-05-04,KLBF,1440,1425,1350,1380,46895400
2020-05-05,KLBF,1380,1420,1355,1360,17606400
2020-05-06,KLBF,1360,1415,1360,1405,55190700
2020-05-08,KLBF,1405,1440,1380,1400,37146000
2020-05-11,KLBF,1400,1415,1385,1385,33331300
2020-05-12,KLBF,1385,1420,1360,1385,30687000
2020-05-13,KLBF,1385,1405,1355,1400,20203800
2020-05-14,KLBF,1400,1400,1370,1400,35697000
2020-05-15,KLBF,1400,1400,1370,1400,25213800
2020-05-18,KLBF,1400,1400,1380,1400,17406600
2020-05-19,KLBF,1400,1405,1380,1390,38331600
2020-05-20,KLBF,1390,1400,1315,1340,50884000
2020-05-26,KLBF,1340,1360,1320,1325,35300400
