date,stock_code,open,high,low,close,volume
2020-01-02,MAPI,1055,1070,1035,1065,8012800
2020-01-03,MAPI,1065,1070,1050,1070,6591500
2020-01-06,MAPI,1070,1070,1040,1055,5459500
2020-01-07,MAPI,1055,1065,1045,1055,5688100
2020-01-08,MAPI,1055,1060,1030,1035,11561800
2020-01-09,MAPI,1035,1050,1030,1040,4134200
2020-01-10,MAPI,1040,1090,1040,1090,11498600
2020-01-13,MAPI,1090,1095,1070,1085,9800800
2020-01-14,MAPI,1085,1090,1075,1085,7055900
2020-01-15,MAPI,1085,1105,1025,1050,31366200
2020-01-16,MAPI,1050,1095,1035,1055,11483200
2020-01-17,MAPI,1055,1075,1040,1040,10277500
2020-01-20,MAPI,1040,1060,1040,1040,7100200
2020-01-21,MAPI,1040,1055,1030,1040,3374300
2020-01-22,MAPI,1040,1055,1015,1015,4263400
2020-01-23,MAPI,1015,1040,1000,1000,4601400
2020-01-24,MAPI,1000,1030,1000,1015,3827800
2020-01-27,MAPI,1015,1020,955,1000,10815700
2020-01-28,MAPI,1000,1010,970,1005,5514300
2020-01-29,MAPI,1005,1010,985,1000,7501300
2020-01-30,MAPI,1000,1010,970,995,9540200
2020-01-31,MAPI,995,1000,960,960,4196500
2020-02-03,MAPI,960,960,895,910,19087200
2020-02-04,MAPI,910,935,875,925,13245400
2020-02-05,MAPI,925,955,910,950,8908000
2020-02-06,MAPI,950,960,940,950,12930600
2020-02-07,MAPI,950,950,925,950,3632400
2020-02-10,MAPI,950,950,900,910,5216700
2020-02-11,MAPI,910,935,910,935,8257400
2020-02-12,MAPI,935,935,910,920,5378700
2020-02-13,MAPI,920,920,885,895,6966700
2020-02-14,MAPI,895,915,890,905,16085500
2020-02-17,MAPI,905,920,885,890,5833000
2020-02-18,MAPI,890,895,870,885,6054000
2020-02-19,MAPI,885,890,860,875,10945900
2020-02-20,MAPI,875,900,845,845,17494200
2020-02-21,MAPI,845,870,835,835,15170500
2020-02-24,MAPI,835,835,800,810,19472600
2020-02-25,MAPI,810,845,795,840,17784500
2020-02-26,MAPI,840,840,820,825,31401200
2020-02-27,MAPI,825,835,760,795,25896200
2020-02-28,MAPI,795,845,730,800,24196400
2020-03-02,MAPI,800,810,735,755,18935700
2020-03-03,MAPI,755,815,770,795,42514000
2020-03-04,MAPI,795,805,780,800,9548700
2020-03-05,MAPI,800,820,785,810,21912800
2020-03-06,MAPI,810,815,780,810,7633300
2020-03-09,MAPI,810,795,730,760,18565800
2020-03-10,MAPI,760,770,710,740,10994200
2020-03-11,MAPI,740,755,695,720,20428200
2020-03-12,MAPI,720,720,650,650,46176300
2020-03-13,MAPI,650,670,605,670,15080500
2020-03-16,MAPI,670,660,625,625,30835300
2020-03-17,MAPI,625,620,585,585,9844400
2020-03-18,MAPI,585,595,545,545,29355300
2020-03-19,MAPI,545,540,510,510,1189200
2020-03-20,MAPI,510,500,476,476,66260200
2020-03-23,MAPI,476,500,444,444,42868000
2020-03-24,MAPI,444,456,414,444,22085600
2020-03-26,MAPI,444,510,442,444,30199900
2020-03-27,MAPI,444,510,444,472,41839000
2020-03-30,MAPI,472,478,440,452,22270100
2020-03-31,MAPI,452,490,454,472,12109800
2020-04-01,MAPI,472,505,462,470,31338600
2020-04-02,MAPI,470,474,438,454,72961300
2020-04-03,MAPI,454,470,438,458,37452700
2020-04-06,MAPI,458,570,462,565,31538400
2020-04-07,MAPI,565,675,580,605,43748700
2020-04-08,MAPI,605,625,565,565,7506600
2020-04-09,MAPI,565,565,530,545,25820300
2020-04-13,MAPI,545,555,510,530,10798500
2020-04-14,MAPI,530,640,530,530,57333200
2020-04-15,MAPI,530,630,555,605,36520200
2020-04-16,MAPI,605,650,570,585,29319400
2020-04-17,MAPI,585,650,600,650,21383100
2020-04-20,MAPI,650,695,605,640,29593700
2020-04-21,MAPI,640,640,600,610,18451700
2020-04-22,MAPI,610,645,575,645,23859200
2020-04-23,MAPI,645,650,610,630,22455300
2020-04-24,MAPI,630,640,595,615,9157700
2020-04-27,MAPI,615,620,590,605,10804000
2020-04-28,MAPI,605,620,590,610,15945300
2020-04-29,MAPI,610,635,605,630,8068300
2020-04-30,MAPI,630,660,630,655,32214900
2020-05-04,MAPI,655,655,610,625,8825600
2020-05-05,MAPI,625,735,630,700,25766800
2020-05-06,MAPI,700,725,690,700,18568800
2020-05-08,MAPI,700,710,670,695,25759100
2020-05-11,MAPI,695,745,695,740,38612500
2020-05-12,MAPI,740,765,720,730,21700200
2020-05-13,MAPI,730,730,685,710,11209300
2020-05-14,MAPI,710,710,670,700,34801600
2020-05-15,MAPI,700,705,675,700,29951200
2020-05-18,MAPI,700,700,685,700,13675700
2020-05-19,MAPI,700,725,705,715,34189100
2020-05-20,MAPI,715,725,685,700,39341300
2020-05-26,MAPI,700,705,655,680,51440100
2020-05-27,MAPI,680,710,660,700,38836000
2020-05-28,MAPI,700,760,705,740,38663600
2020-05-29,MAPI,740,760,715,725,47422700
2020-06-02,MAPI,725,735,705,725,35103500
2020-06-03,MAPI,725,745,715,720,49129900
2020-06-04,MAPI,720,795,730,765,45006900
2020-06-05,MAPI,765,830,760,795,60146300
2020-06-08,MAPI,795,840,795,820,45368600
2020-06-09,MAPI,820,845,795,800,24741100
2020-06-10,MAPI,800,820,780,795,18339600
2020-06-11,MAPI,795,795,740,780,29666500
2020-06-12,MAPI,780,765,735,750,25690700
2020-06-15,MAPI,750,805,715,740,59028400
2020-06-16,MAPI,740,775,750,765,26920000
2020-06-17,MAPI,765,805,765,800,35840200
2020-06-18,MAPI,800,800,775,785,17093600
2020-06-19,MAPI,785,790,770,775,19548600
2020-06-22,MAPI,775,785,770,775,9071800
2020-06-23,MAPI,775,785,765,785,7050400
2020-06-24,MAPI,785,795,760,775,32422000
2020-06-25,MAPI,775,780,750,765,18231800
2020-06-26,MAPI,765,790,765,790,11514400
2020-06-29,MAPI,790,790,760,780,12634600
2020-06-30,MAPI,780,790,770,780,16326600
2020-07-01,MAPI,780,790,765,785,45847300
2020-07-02,MAPI,785,800,765,765,19186900
2020-07-03,MAPI,765,775,740,740,19747600
2020-07-06,MAPI,740,755,720,720,20865400
2020-07-07,MAPI,720,730,705,725,44526300
2020-07-08,MAPI,725,745,725,735,68246100
2020-07-09,MAPI,735,745,705,720,47121800
2020-07-10,MAPI,720,725,710,715,9222500
2020-07-13,MAPI,715,720,710,720,15145400
2020-07-14,MAPI,720,725,700,700,21969600
2020-07-15,MAPI,700,710,660,665,75759700
2020-07-16,MAPI,665,695,655,690,53109700
2020-07-17,MAPI,690,705,680,700,34347100
2020-07-20,MAPI,700,705,685,685,50896100
2020-07-21,MAPI,685,715,685,685,88914900
2020-07-22,MAPI,685,710,685,700,50744000
2020-07-23,MAPI,700,730,685,695,33187200
2020-07-24,MAPI,695,705,685,690,22253800
2020-07-27,MAPI,690,705,680,690,13705800
2020-07-28,MAPI,690,705,690,700,8447900
2020-07-29,MAPI,700,705,690,700,36252600
2020-07-30,MAPI,700,705,665,685,48121900
2020-08-03,MAPI,685,695,640,650,60943400
2020-08-04,MAPI,650,670,625,665,25238700
2020-08-05,MAPI,665,670,650,665,21555200
2020-08-06,MAPI,665,710,665,695,38061500
2020-08-07,MAPI,695,710,685,700,42980200
2020-08-10,MAPI,700,710,685,690,5457000
2020-08-11,MAPI,690,700,685,695,10854300
2020-08-12,MAPI,695,700,685,695,7729000
2020-08-13,MAPI,695,720,695,695,28105600
2020-08-14,MAPI,695,705,685,690,8962600
2020-08-18,MAPI,690,715,685,690,26173700
2020-08-19,MAPI,690,705,690,690,6584600
2020-08-24,MAPI,690,710,685,710,27868500
2020-08-25,MAPI,710,720,695,705,18177600
2020-08-26,MAPI,705,710,695,695,20689600
2020-08-27,MAPI,695,705,685,685,8288900
2020-08-28,MAPI,685,695,680,685,12940100
2020-08-31,MAPI,685,690,665,680,22706300
2020-09-01,MAPI,680,690,670,685,10784300
2020-09-02,MAPI,685,700,685,695,6369600
2020-09-03,MAPI,695,700,685,690,3561000
2020-09-04,MAPI,690,685,660,685,7189600
2020-09-07,MAPI,685,685,660,665,10456200
2020-09-08,MAPI,665,680,655,660,12747300
2020-09-09,MAPI,660,665,640,650,15318900
2020-09-10,MAPI,650,640,605,605,24182200
2020-09-11,MAPI,605,605,565,600,50035400
2020-09-14,MAPI,600,640,600,630,20880200
2020-09-15,MAPI,630,635,590,595,20151400
2020-09-16,MAPI,595,605,570,580,24093800
2020-09-17,MAPI,580,605,555,555,20286600
2020-09-18,MAPI,555,595,555,570,21491700
2020-09-21,MAPI,570,590,570,575,13215200
2020-09-22,MAPI,575,585,550,565,9029600
2020-09-23,MAPI,565,585,555,570,8792400
2020-09-24,MAPI,570,585,535,560,12074100
2020-09-25,MAPI,560,595,555,580,12762500
2020-09-28,MAPI,580,590,565,575,2568500
2020-09-29,MAPI,575,590,565,575,16164500
2020-09-30,MAPI,575,580,560,570,5835400
2020-10-01,MAPI,570,590,575,580,12404300
2020-10-02,MAPI,580,590,555,565,6964500
2020-10-05,MAPI,565,570,560,560,4672100
2020-10-06,MAPI,560,600,560,600,18059500
2020-10-07,MAPI,600,605,585,590,4529000
2020-10-08,MAPI,590,600,585,590,4896900
2020-10-09,MAPI,590,615,585,605,11713000
2020-10-12,MAPI,605,670,620,645,35513600
2020-10-13,MAPI,645,660,630,650,15912900
2020-10-14,MAPI,650,665,650,655,10125300
2020-10-15,MAPI,655,670,650,655,14169900
2020-10-16,MAPI,655,660,635,640,3758100
2020-10-19,MAPI,640,650,640,640,3533000
2020-10-20,MAPI,640,640,620,635,9048800
2020-10-21,MAPI,635,645,625,645,7626600
2020-10-22,MAPI,645,645,630,635,6328100
2020-10-23,MAPI,635,640,625,635,11913700
2020-10-26,MAPI,635,650,630,650,17856000
2020-10-27,MAPI,650,655,640,655,10922200
2020-11-02,MAPI,655,660,635,640,18210500
2020-11-03,MAPI,640,650,630,640,7631900
2020-11-04,MAPI,640,645,620,630,7021900
2020-11-05,MAPI,630,650,625,650,24414800
2020-11-06,MAPI,650,670,650,670,24381000
2020-11-09,MAPI,670,710,670,700,51213200
2020-11-10,MAPI,700,755,725,735,98318000
2020-11-11,MAPI,735,750,710,745,34239300
2020-11-12,MAPI,745,780,720,775,25532400
2020-11-13,MAPI,775,780,745,755,5882000
2020-11-16,MAPI,755,770,740,765,22445500
2020-11-17,MAPI,765,820,755,765,35042000
2020-11-18,MAPI,765,780,735,775,9638100
2020-11-19,MAPI,775,800,770,785,46754200
2020-11-20,MAPI,785,795,775,785,19898900
2020-11-23,MAPI,785,790,780,785,11131800
2020-11-24,MAPI,785,830,765,810,19492300
2020-11-25,MAPI,810,850,790,850,55963800
2020-11-26,MAPI,850,965,840,870,57707200
2020-11-27,MAPI,870,870,860,865,15999600
2020-11-30,MAPI,865,870,805,805,25983000
2020-12-01,MAPI,805,835,760,800,18747000
2020-12-02,MAPI,800,845,790,840,31656500
2020-12-03,MAPI,840,850,800,805,34804600
2020-12-04,MAPI,805,805,770,795,28562700
2020-12-07,MAPI,795,830,795,805,51252700
2020-12-08,MAPI,805,835,795,825,68864300
2020-12-10,MAPI,825,870,825,845,38824400
2020-12-11,MAPI,845,905,845,895,54647300
2020-12-14,MAPI,895,915,855,895,36339700
2020-12-15,MAPI,895,900,835,890,30063100
2020-12-16,MAPI,890,895,870,890,21960800
2020-12-17,MAPI,890,955,870,945,54831700
2020-12-18,MAPI,945,960,910,920,34531800
2020-12-21,MAPI,920,945,905,920,16199800
2020-12-22,MAPI,920,920,885,915,16432300
2020-12-23,MAPI,915,915,855,905,22135300
2020-12-28,MAPI,905,925,890,905,7210900
2020-12-29,MAPI,905,910,845,845,17934800
2020-12-30,MAPI,845,845,790,790,55886300
2021-01-04,MAPI,790,845,795,830,22596800
2021-01-05,MAPI,830,845,830,840,13583200
2021-01-06,MAPI,840,855,800,805,36623100
2021-01-07,MAPI,805,825,805,815,23585800
2021-01-08,MAPI,815,835,815,835,12543500
2021-01-11,MAPI,835,835,800,815,18511300
2021-01-12,MAPI,815,830,790,795,58356000
2021-01-13,MAPI,795,810,790,795,21195000
2021-01-14,MAPI,795,830,795,810,32794300
2021-01-15,MAPI,810,825,800,810,19130800
2021-01-18,MAPI,810,835,795,795,25606000
2021-01-19,MAPI,795,805,750,765,44747500
2021-01-20,MAPI,765,810,735,805,53015400
2021-01-21,MAPI,805,820,780,795,9962800
2021-01-22,MAPI,795,800,740,745,26517500
2021-01-25,MAPI,745,810,695,760,60040500
2021-01-26,MAPI,760,775,750,775,32830800
2021-01-27,MAPI,775,810,750,810,31104500
