date,stock_code,open,high,low,close,volume
2020-01-02,TLKM,3970,4000,3900,3910,52094000
2020-01-03,TLKM,3910,3980,3930,3980,70032900
2020-01-06,TLKM,3980,3970,3930,3960,42908900
2020-01-07,TLKM,3960,3970,3920,3940,51837600
2020-01-08,TLKM,3940,3950,3900,3900,52402600
2020-01-09,TLKM,3900,3970,3920,3960,37580300
2020-01-10,TLKM,3960,3990,3950,3980,48099000
2020-01-13,TLKM,3980,4030,3990,4030,61913800
2020-01-14,TLKM,4030,4000,3940,3950,95058600
2020-01-15,TLKM,3950,3960,3870,3880,147583300
2020-01-16,TLKM,3880,3890,3830,3850,118903100
2020-01-17,TLKM,3850,3870,3800,3810,119904100
2020-01-20,TLKM,3810,3840,3800,3810,73599200
2020-01-21,TLKM,3810,3900,3810,3890,78014400
2020-01-22,TLKM,3890,3890,3850,3860,45839800
2020-01-23,TLKM,3860,3880,3830,3880,41077400
2020-01-24,TLKM,3880,3930,3860,3920,58524000
2020-01-27,TLKM,3920,3920,3830,3840,33081800
2020-01-28,TLKM,3840,3840,3800,3830,56210000
2020-01-29,TLKM,3830,3900,3840,3900,51929800
2020-01-30,TLKM,3900,3910,3850,3860,60391600
2020-01-31,TLKM,3860,3890,3780,3800,120447900
2020-02-03,TLKM,3800,3820,3730,3740,68360600
2020-02-04,TLKM,3740,3810,3730,3760,77259600
2020-02-05,TLKM,3760,3780,3720,3770,68150800
2020-02-06,TLKM,3770,3800,3750,3760,56261500
2020-02-07,TLKM,3760,3820,3760,3790,53578900
2020-02-10,TLKM,3790,3850,3780,3810,86588500
2020-02-11,TLKM,3810,3830,3780,3790,50248200
2020-02-12,TLKM,3790,3850,3780,3820,73840300
2020-02-13,TLKM,3820,3830,3710,3730,66699800
2020-02-14,TLKM,3730,3730,3640,3640,108793300
2020-02-17,TLKM,3640,3660,3590,3610,94887800
2020-02-18,TLKM,3610,3660,3590,3620,94382900
2020-02-19,TLKM,3620,3640,3590,3620,63717800
2020-02-20,TLKM,3620,3650,3600,3630,53035400
2020-02-21,TLKM,3630,3710,3640,3690,86862600
2020-02-24,TLKM,3690,3720,3630,3640,72610600
2020-02-25,TLKM,3640,3670,3590,3590,73990700
2020-02-26,TLKM,3590,3550,3450,3510,133449900
2020-02-27,TLKM,3510,3550,3420,3470,88389400
2020-02-28,TLKM,3470,3490,3340,3490,151751800
2020-03-02,TLKM,3490,3550,3440,3440,96802900
2020-03-03,TLKM,3440,3660,3470,3620,114698200
2020-03-04,TLKM,3620,3840,3630,3830,136081000
2020-03-05,TLKM,3830,3880,3760,3830,101235000
2020-03-06,TLKM,3830,3790,3710,3750,86476000
2020-03-09,TLKM,3750,3620,3500,3500,109347300
2020-03-10,TLKM,3500,3620,3480,3490,119718000
2020-03-11,TLKM,3490,3480,3370,3400,115486900
2020-03-12,TLKM,3400,3440,3270,3310,84363800
2020-03-13,TLKM,3310,3490,3080,3390,172248400
2020-03-16,TLKM,3390,3300,3160,3160,115972300
2020-03-17,TLKM,3160,3160,2940,2940,150122700
2020-03-18,TLKM,2940,3080,2740,2810,150147300
2020-03-19,TLKM,2810,2810,2620,2620,138987300
2020-03-20,TLKM,2620,2990,2450,2880,267694700
2020-03-23,TLKM,2880,2880,2680,2680,86157200
2020-03-24,TLKM,2680,2880,2570,2620,243778900
2020-03-26,TLKM,2620,3080,2550,2980,267369500
2020-03-27,TLKM,2980,3270,3050,3090,200952500
2020-03-30,TLKM,3090,3180,2880,3140,134474300
2020-03-31,TLKM,3140,3300,3120,3160,151302900
2020-04-01,TLKM,3160,3200,3040,3100,104550600
2020-04-02,TLKM,3100,3130,3020,3130,92893600
2020-04-03,TLKM,3130,3220,3120,3200,83469200
2020-04-06,TLKM,3200,3330,3180,3330,115495000
2020-04-07,TLKM,3330,3500,3200,3220,166425600
2020-04-08,TLKM,3220,3220,3050,3110,124553900
2020-04-09,TLKM,3110,3180,3030,3120,122622400
2020-04-13,TLKM,3120,3230,3130,3180,45469500
2020-04-14,TLKM,3180,3250,3160,3240,79114600
2020-04-15,TLKM,3240,3300,3090,3110,69832000
2020-04-16,TLKM,3110,3110,3000,3000,109582500
2020-04-17,TLKM,3000,3250,3050,3230,127860400
2020-04-20,TLKM,3230,3270,3120,3120,77306900
2020-04-21,TLKM,3120,3130,3050,3070,43239400
2020-04-22,TLKM,3070,3270,3030,3160,126278300
2020-04-23,TLKM,3160,3240,3070,3070,117391500
2020-04-24,TLKM,3070,3160,3080,3090,84061400
2020-04-27,TLKM,3090,3200,3100,3150,85475400
2020-04-28,TLKM,3150,3200,3140,3160,80212700
2020-04-29,TLKM,3160,3390,3100,3350,154902100
2020-04-30,TLKM,3350,3540,3350,3500,163170100
2020-05-04,TLKM,3500,3400,3260,3320,108988600
2020-05-05,TLKM,3320,3390,3320,3320,74036700
2020-05-06,TLKM,3320,3340,3220,3240,86395000
2020-05-08,TLKM,3240,3290,3150,3190,143584400
2020-05-11,TLKM,3190,3250,3210,3220,58473100
2020-05-12,TLKM,3220,3270,3100,3150,138978700
2020-05-13,TLKM,3150,3170,3080,3160,73238700
2020-05-14,TLKM,3160,3140,3060,3070,101581300
2020-05-15,TLKM,3070,3130,3020,3100,114753900
2020-05-18,TLKM,3100,3220,3100,3220,108828800
2020-05-19,TLKM,3220,3330,3250,3270,97387100
2020-05-20,TLKM,3270,3260,3180,3180,76086600
2020-05-26,TLKM,3180,3280,3130,3250,105792900
2020-05-27,TLKM,3250,3270,3150,3170,128693900
2020-05-28,TLKM,3170,3210,3130,3130,177385100
2020-05-29,TLKM,3130,3150,3080,3150,276092100
2020-06-02,TLKM,3150,3270,3120,3250,174790600
2020-06-03,TLKM,3250,3320,3230,3290,216200900
2020-06-04,TLKM,3290,3390,3250,3300,167708600
2020-06-05,TLKM,3300,3360,3200,3230,188420700
2020-06-08,TLKM,3230,3290,3220,3230,221641600
2020-06-09,TLKM,3230,3270,3140,3140,171214500
2020-06-10,TLKM,3140,3190,3100,3110,263483700
2020-06-11,TLKM,3110,3150,3060,3080,175767800
2020-06-12,TLKM,3080,3080,2970,3030,260087300
2020-06-15,TLKM,3030,3150,3030,3090,241625700
2020-06-16,TLKM,3090,3220,3130,3200,194424800
2020-06-17,TLKM,3200,3230,3140,3210,177784900
2020-06-18,TLKM,3210,3350,3180,3280,235586600
2020-06-19,TLKM,3280,3340,3250,3280,227358800
2020-06-22,TLKM,3280,3300,3180,3200,159776500
2020-06-23,TLKM,3200,3200,3120,3130,167271000
2020-06-24,TLKM,3130,3230,3140,3180,170895600
2020-06-25,TLKM,3180,3220,3140,3160,100882600
2020-06-26,TLKM,3160,3220,3180,3190,100784500
