stock,term,algorithm,rmse,rmse_norm,epoch,unit,optimizer,batch_size
ASII,long,LSTM,183.01667204051842,0.0721959258542479,50,50,rmsprop,32
ASII,long,GRU,172.7790831126529,0.06815742923576053,50,50,rmsprop,32
ASII,long,RNN,114.78329265396121,0.04527940538617799,50,50,rmsprop,32
AMRT,long,LSTM,85.81987720986467,0.16192429662238617,50,50,rmsprop,32
AMRT,long,GRU,378.51953248845666,0.42480479431339513,50,50,rmsprop,32
AMRT,long,RNN,61.07210876743662,0.11523039390082378,50,50,rmsprop,32
ADRO,long,LSTM,142.06610371086518,0.0899152555132058,50,50,rmsprop,32
ADRO,long,GRU,186.1573521585498,0.11782110896110748,50,50,rmsprop,32
ADRO,long,RNN,161.44708252509864,0.09758245253097714,50,50,rmsprop,32
MAPI,long,LSTM,91.27307511067796,0.11338270200084218,50,50,rmsprop,32
MAPI,long,GRU,128.00927115292114,0.14768252299059476,50,50,rmsprop,32
MAPI,long,RNN,94.48894440184577,0.10547900138992658,50,50,rmsprop,32
KLBF,long,LSTM,97.35046660988638,0.10028702041041467,50,50,rmsprop,32
KLBF,long,GRU,61.59623224459993,0.06745056590817815,50,50,rmsprop,32
KLBF,long,RNN,98.21032008337254,0.10851969069985916,50,50,rmsprop,32
TLKM,long,LSTM,155.09431576933903,0.09029913260919806,50,50,rmsprop,32
TLKM,long,GRU,155.0461686969637,0.09072734655857383,50,50,rmsprop,32
TLKM,long,RNN,72.96110810439755,0.044761416014967845,50,50,rmsprop,32
ASII,long,LSTM,174.66884387011385,0.06890289699018297,50,50,adam,32
ASII,long,GRU,90.94571324897159,0.03587602100551147,50,50,adam,32
ASII,long,RNN,244.23245814190741,0.09050615794454321,50,50,adam,32
AMRT,long,LSTM,89.41617962291073,0.16870977287341646,50,50,adam,32
AMRT,long,GRU,85.72509897652435,0.16174546976702703,50,50,adam,32
AMRT,long,RNN,245.91637998145168,0.37780585991597737,50,50,adam,32
ADRO,long,LSTM,128.38000056129937,0.08125316491221478,50,50,adam,32
ADRO,long,GRU,128.53328498809893,0.08135018037221452,50,50,adam,32
ADRO,long,RNN,191.36310333249253,0.11668560946508194,50,50,adam,32
MAPI,long,LSTM,90.77587289679738,0.11276505949912718,50,50,adam,32
MAPI,long,GRU,100.1684459675311,0.11807494696008777,50,50,adam,32
MAPI,long,RNN,147.2076358221907,0.17509789651003324,50,50,adam,32
KLBF,long,LSTM,72.65914130336796,0.08028634398162204,50,50,adam,32
KLBF,long,GRU,51.88292552802889,0.05630899689823357,50,50,adam,32
KLBF,long,RNN,72.81958401835999,0.07995135840001397,50,50,adam,32
TLKM,long,LSTM,117.81023880791642,0.07145963098383355,50,50,adam,32
TLKM,long,GRU,90.39444414486242,0.05457185706523532,50,50,adam,32
TLKM,long,RNN,75.64817290984358,0.04640992203057888,50,50,adam,32
ASII,long,LSTM,282.0887293946255,0.11127760528387592,50,50,sgd,32
ASII,long,GRU,178.89857504227948,0.07057142999695443,50,50,sgd,32
ASII,long,RNN,268.2561053440386,0.10242434277946237,50,50,sgd,32
AMRT,long,LSTM,118.06072048609109,0.22275607638885106,50,50,sgd,32
AMRT,long,GRU,90.80689077393137,0.17133375617722899,50,50,sgd,32
AMRT,long,RNN,265.70811333829573,0.46766832930639557,50,50,sgd,32
ADRO,long,LSTM,233.77955508855874,0.14796174372693593,50,50,sgd,32
ADRO,long,GRU,144.2374862732699,0.09128954827422145,50,50,sgd,32
ADRO,long,RNN,309.87674733164687,0.19612452362762461,50,50,sgd,32
MAPI,long,LSTM,166.65421342531263,0.207023867609084,50,50,sgd,32
MAPI,long,GRU,91.59315654033773,0.11378031868364935,50,50,sgd,32
MAPI,long,RNN,235.91205621728204,0.2930584549283007,50,50,sgd,32
KLBF,long,LSTM,116.46857329530384,0.12869455612740757,50,50,sgd,32
KLBF,long,GRU,68.39929440897085,0.0755793308386418,50,50,sgd,32
KLBF,long,RNN,104.87828089869221,0.11588760320297481,50,50,sgd,32
TLKM,long,LSTM,212.92349155126212,0.13062790892715467,50,50,sgd,32
TLKM,long,GRU,118.42861747287463,0.07265559354164088,50,50,sgd,32
TLKM,long,RNN,245.77985508554727,0.1394399828511341,50,50,sgd,32
ASII,long,LSTM,251.19383111709269,0.09909026868524365,50,50,rmsprop,64
ASII,long,GRU,241.54011766282048,0.09528209769736508,50,50,rmsprop,64
ASII,long,RNN,401.0199519951806,0.13753902811794888,50,50,rmsprop,64
AMRT,long,LSTM,88.48514357721922,0.1669531010890928,50,50,rmsprop,64
AMRT,long,GRU,77.84568907842107,0.14687865863853028,50,50,rmsprop,64
AMRT,long,RNN,77.19699893816906,0.14565471497767746,50,50,rmsprop,64
ADRO,long,LSTM,174.21209919518452,0.11026082227543323,50,50,rmsprop,64
ADRO,long,GRU,120.64424317778192,0.07635711593530502,50,50,rmsprop,64
ADRO,long,RNN,94.99341937136877,0.05788320500841136,50,50,rmsprop,64
MAPI,long,LSTM,142.92310774859573,0.17708587379547402,50,50,rmsprop,64
MAPI,long,GRU,238.3574889344044,0.27530851612050833,50,50,rmsprop,64
MAPI,long,RNN,64.64475856051402,0.08030404790125965,50,50,rmsprop,64
KLBF,long,LSTM,91.07612410058549,0.10063660121611653,50,50,rmsprop,64
KLBF,long,GRU,142.87107137418124,0.13839957570747602,50,50,rmsprop,64
KLBF,long,RNN,113.99096418165274,0.1259568664990638,50,50,rmsprop,64
TLKM,long,LSTM,185.4154153929329,0.10910599828200757,50,50,rmsprop,64
TLKM,long,GRU,86.70705771523171,0.05319451393572496,50,50,rmsprop,64
TLKM,long,RNN,63.54739332645795,0.038060911330236445,50,50,rmsprop,64
ASII,long,LSTM,179.2586021938727,0.07071345254196161,50,50,adam,64
ASII,long,GRU,141.35122033170666,0.05556241597890402,50,50,adam,64
ASII,long,RNN,491.7738184345087,0.1642363719009366,50,50,adam,64
AMRT,long,LSTM,100.65457952869708,0.18991430099754164,50,50,adam,64
AMRT,long,GRU,123.76862237111939,0.23352570258701771,50,50,adam,64
AMRT,long,RNN,391.2751505750242,0.4577996023633765,50,50,adam,64
ADRO,long,LSTM,169.59549105794193,0.10733891839110249,50,50,adam,64
ADRO,long,GRU,117.8170366515092,0.07456774471614508,50,50,adam,64
ADRO,long,RNN,123.14303285778624,0.07740810190392523,50,50,adam,64
MAPI,long,LSTM,129.59102807999133,0.16098264357762898,50,50,adam,64
MAPI,long,GRU,69.63381233649343,0.08650163023166886,50,50,adam,64
MAPI,long,RNN,126.85285001469356,0.1464605822802672,50,50,adam,64
KLBF,long,LSTM,85.77207979918047,0.09477577878362484,50,50,adam,64
KLBF,long,GRU,57.98422481446375,0.06407096664581631,50,50,adam,64
KLBF,long,RNN,77.3635927328925,0.08548463285402487,50,50,adam,64
TLKM,long,LSTM,148.5706725709139,0.09068548256278487,50,50,adam,64
TLKM,long,GRU,75.89746954418278,0.04656286475103238,50,50,adam,64
TLKM,long,RNN,245.41670388903742,0.13762346271348347,50,50,adam,64
ASII,long,LSTM,299.95036465680886,0.11832361524923428,50,50,sgd,64
ASII,long,GRU,325.209632528213,0.1282878234825298,50,50,sgd,64
ASII,long,RNN,323.17208066906915,0.11731629524286527,50,50,sgd,64
AMRT,long,LSTM,105.8347827592323,0.19968826935704204,50,50,sgd,64
AMRT,long,GRU,83.0323240993705,0.15666476245164238,50,50,sgd,64
AMRT,long,RNN,332.4736876914504,0.5406717978482823,50,50,sgd,64
ADRO,long,LSTM,235.73468408537104,0.1491991671426399,50,50,sgd,64
