stock,term,algorithm,rmse,rmse_norm,epoch,unit,optimizer,batch_size
ASII,medium,LSTM,260.1370832487021,0.19485923838854088,50,50,rmsprop,32
ASII,medium,GRU,174.40108697765285,0.12186442772350171,50,50,rmsprop,32
ASII,medium,RNN,337.1195043828495,0.18053514746252342,50,50,rmsprop,32
AMRT,medium,LSTM,72.17187189051562,0.17602895583052586,50,50,rmsprop,32
AMRT,medium,GRU,67.18750638228038,0.15346430931410068,50,50,rmsprop,32
AMRT,medium,RNN,111.62688777083207,0.23649446310439678,50,50,rmsprop,32
ADRO,medium,LSTM,109.0468453737401,0.12391686974288649,50,50,rmsprop,32
ADRO,medium,GRU,108.07926986462681,0.1203054262979209,50,50,rmsprop,32
ADRO,medium,RNN,122.51025069203695,0.13921619396822382,50,50,rmsprop,32
MAPI,medium,LSTM,120.48126125426815,0.16171981376411831,50,50,rmsprop,32
MAPI,medium,GRU,77.67213730240829,0.10425790241933999,50,50,rmsprop,32
MAPI,medium,RNN,73.10812407132758,0.097060284874476,50,50,rmsprop,32
KLBF,medium,LSTM,45.96330454908392,0.19343892944259583,50,50,rmsprop,32
KLBF,medium,GRU,35.33505061395443,0.15126015036386004,50,50,rmsprop,32
KLBF,medium,RNN,96.8768895632516,0.23943919922852272,50,50,rmsprop,32
TLKM,medium,LSTM,191.55221872210373,0.13077538174075687,50,50,rmsprop,32
TLKM,medium,GRU,136.03343936901555,0.09317358860891478,50,50,rmsprop,32
TLKM,medium,RNN,167.98807274864822,0.11095146318608254,50,50,rmsprop,32
ASII,medium,LSTM,296.9810906002865,0.22006964943248714,50,50,adam,32
ASII,medium,GRU,138.1970894483147,0.10128071420269566,50,50,adam,32
ASII,medium,RNN,269.3967740223809,0.14358575267001408,50,50,adam,32
AMRT,medium,LSTM,82.05877270917692,0.18966841901577533,50,50,adam,32
AMRT,medium,GRU,67.76936491523226,0.15421749567781243,50,50,adam,32
AMRT,medium,RNN,90.11772423386216,0.19717307799160463,50,50,adam,32
ADRO,medium,LSTM,94.8556274072181,0.10779048569002056,50,50,adam,32
ADRO,medium,GRU,61.82734141262356,0.07025834251434493,50,50,adam,32
ADRO,medium,RNN,82.9463441754623,0.09425720929029803,50,50,adam,32
MAPI,medium,LSTM,95.8944732960808,0.12871741382024265,50,50,adam,32
MAPI,medium,GRU,59.08659923598034,0.07931087145769171,50,50,adam,32
MAPI,medium,RNN,81.72374242899546,0.10969629856240998,50,50,adam,32
KLBF,medium,LSTM,44.92554140906352,0.19760436886022636,50,50,adam,32
KLBF,medium,GRU,37.27119531937404,0.15802630793254036,50,50,adam,32
KLBF,medium,RNN,83.33516605159352,0.1966029373142213,50,50,adam,32
TLKM,medium,LSTM,187.6404615596495,0.12852086408195174,50,50,adam,32
TLKM,medium,GRU,115.99077694178867,0.07942026539165258,50,50,adam,32
TLKM,medium,RNN,212.84510202030316,0.12638061397804157,50,50,adam,32
ASII,medium,LSTM,787.159401956142,0.4860970471499785,50,50,sgd,32
ASII,medium,GRU,403.2795787936753,0.2784525970415796,50,50,sgd,32
ASII,medium,RNN,355.5068655781611,0.1894125473409899,50,50,sgd,32
AMRT,medium,LSTM,104.59641812185684,0.255113214931358,50,50,sgd,32
AMRT,medium,GRU,92.14008778737255,0.22473192143261594,50,50,sgd,32
AMRT,medium,RNN,87.84401924977146,0.20416299423561338,50,50,sgd,32
ADRO,medium,LSTM,212.02993430409174,0.2409431071637406,50,50,sgd,32
ADRO,medium,GRU,138.5195417613587,0.15740857018336216,50,50,sgd,32
ADRO,medium,RNN,139.83716625877767,0.15890587074861098,50,50,sgd,32
MAPI,medium,LSTM,193.74364699539984,0.2600585865710065,50,50,sgd,32
MAPI,medium,GRU,112.86740761595651,0.15149987599457249,50,50,sgd,32
MAPI,medium,RNN,123.46442584068768,0.15980603987658074,50,50,sgd,32
KLBF,medium,LSTM,195.3069769032399,0.524641898756118,50,50,sgd,32
KLBF,medium,GRU,107.29751268386215,0.36175520621977025,50,50,sgd,32
KLBF,medium,RNN,161.42539329289727,0.27228518149720854,50,50,sgd,32
TLKM,medium,LSTM,511.11426572739526,0.3500782641968461,50,50,sgd,32
TLKM,medium,GRU,298.4235313052035,0.20439967897616676,50,50,sgd,32
TLKM,medium,RNN,173.49249964613395,0.11674574492020709,50,50,sgd,32
ASII,medium,LSTM,280.6552466848927,0.2044543658000774,50,50,rmsprop,64
ASII,medium,GRU,191.02073113529417,0.13796342140318388,50,50,rmsprop,64
ASII,medium,RNN,241.3485683463992,0.14970773451402508,50,50,rmsprop,64
AMRT,medium,LSTM,80.8818708265045,0.19727285567440117,50,50,rmsprop,64
AMRT,medium,GRU,103.6730121705003,0.2155059990491375,50,50,rmsprop,64
AMRT,medium,RNN,73.31751094234893,0.1788231974203632,50,50,rmsprop,64
ADRO,medium,LSTM,116.3439685754,0.13220905519931817,50,50,rmsprop,64
ADRO,medium,GRU,176.0728758508036,0.1756020172191829,50,50,rmsprop,64
ADRO,medium,RNN,212.2329791814277,0.23082988831852752,50,50,rmsprop,64
MAPI,medium,LSTM,194.3715478882579,0.24552340646040138,50,50,rmsprop,64
MAPI,medium,GRU,131.53502558617674,0.16660787461504933,50,50,rmsprop,64
MAPI,medium,RNN,85.32327397033383,0.10612249222833417,50,50,rmsprop,64
KLBF,medium,LSTM,53.056061598842646,0.21826062333196525,50,50,rmsprop,64
KLBF,medium,GRU,41.268972868256604,0.1661094523869752,50,50,rmsprop,64
KLBF,medium,RNN,93.76357308155315,0.2279164304801467,50,50,rmsprop,64
TLKM,medium,LSTM,222.35214644755698,0.15229599071750474,50,50,rmsprop,64
TLKM,medium,GRU,149.805058204472,0.10260620424963834,50,50,rmsprop,64
TLKM,medium,RNN,327.1281811526679,0.17494259895429126,50,50,rmsprop,64
ASII,medium,LSTM,370.63080694260117,0.2719894696813201,50,50,adam,64
ASII,medium,GRU,147.09926281141028,0.10967158522803644,50,50,adam,64
ASII,medium,RNN,274.90050423956404,0.15872849244353643,50,50,adam,64
AMRT,medium,LSTM,80.09327915554566,0.19534946135498937,50,50,adam,64
AMRT,medium,GRU,69.4555495299587,0.15888472428459452,50,50,adam,64
AMRT,medium,RNN,97.78236528171864,0.19911001663104844,50,50,adam,64
ADRO,medium,LSTM,108.98307972728627,0.12384440878100711,50,50,adam,64
ADRO,medium,GRU,69.16247899185595,0.078593726127109,50,50,adam,64
ADRO,medium,RNN,155.4139138872956,0.1699304372187037,50,50,adam,64
MAPI,medium,LSTM,111.47652801586673,0.1496329235112305,50,50,adam,64
MAPI,medium,GRU,74.13991168256797,0.0995166599766013,50,50,adam,64
MAPI,medium,RNN,94.91630772467485,0.1266831209410124,50,50,adam,64
KLBF,medium,LSTM,48.5104653911127,0.20255418125083546,50,50,adam,64
KLBF,medium,GRU,34.03769979875311,0.15127866577223606,50,50,adam,64
KLBF,medium,RNN,90.93284630646218,0.17652641501767893,50,50,adam,64
TLKM,medium,LSTM,225.59053645459716,0.1545140660647926,50,50,adam,64
TLKM,medium,GRU,122.67607011364471,0.08402470555729093,50,50,adam,64
TLKM,medium,RNN,118.65597578897712,0.08106000505552947,50,50,adam,64
ASII,medium,LSTM,968.8641486380528,0.566710367267516,50,50,sgd,64
ASII,medium,GRU,815.8666536977686,0.4954103927606323,50,50,sgd,64
ASII,medium,RNN,749.4118460442049,0.36681527509996914,50,50,sgd,64
AMRT,medium,LSTM,103.7549623496976,0.2530608837797502,50,50,sgd,64
AMRT,medium,GRU,102.05802225517077,0.2489220055004165,50,50,sgd,64
AMRT,medium,RNN,134.25000832680894,0.3142642941396116,50,50,sgd,64
ADRO,medium,LSTM,202.63278463099317,0.23026452798976496,50,50,sgd,64
ADRO,medium,GRU,197.46822778714622,0.22439571339448433,50,50,sgd,64
ADRO,medium,RNN,111.95261854065973,0.12721888470529516,50,50,sgd,64
MAPI,medium,LSTM,224.13813230667884,0.3008565534317836,50,50,sgd,64
MAPI,medium,GRU,149.05162998678438,0.2000693019956837,50,50,sgd,64
MAPI,medium,RNN,120.15604341860815,0.161283279756521,50,50,sgd,64
KLBF,medium,LSTM,271.36522475728947,0.6367191134295063,50,50,sgd,64
KLBF,medium,GRU,165.9828173510038,0.4835488833820912,50,50,sgd,64
KLBF,medium,RNN,109.35907359631068,0.203897125952118,50,50,sgd,64
TLKM,medium,LSTM,568.2359864732042,0.3892027304610988,50,50,sgd,64
