stock,term,algorithm,rmse,rmse_norm,epoch,unit,optimizer,batch_size
ASII,short,LSTM,56.828388723594095,0.4059170623113868,50,50,rmsprop,32
ASII,short,GRU,46.53015914405754,0.33235827960041114,50,50,rmsprop,32
ASII,short,RNN,68.82359938131098,0.4394246560781047,50,50,rmsprop,32
ASII,short,LSTM,54.55799091288563,0.3896999350920406,50,50,adam,32
ASII,short,GRU,47.977016435024616,0.3426929745358893,50,50,adam,32
ASII,short,RNN,72.28648696760688,0.5126026651442803,50,50,adam,32
ASII,short,LSTM,58.05362093805937,0.4146687209861379,50,50,sgd,32
ASII,short,GRU,53.95883014970645,0.38542021535504695,50,50,sgd,32
ASII,short,RNN,53.65086796094897,0.38322048543535014,50,50,sgd,32
ASII,short,LSTM,53.183867842647054,0.37988477030462137,50,50,rmsprop,32
ASII,short,GRU,53.16851782590568,0.3797751273278978,50,50,rmsprop,32
ASII,short,RNN,90.16772346735165,0.3780594116116786,50,50,rmsprop,32
ASII,short,LSTM,55.015273071654214,0.3929662362261011,50,50,adam,32
ASII,short,GRU,53.40025031506959,0.38143035939335385,50,50,adam,32
ASII,short,RNN,85.32479693511594,0.4386956112236805,50,50,adam,32
ASII,short,LSTM,59.942256505614935,0.4281589750401069,50,50,sgd,32
ASII,short,GRU,53.76252755594532,0.3840180539710385,50,50,sgd,32
ASII,short,RNN,62.89046201085886,0.4492175857918494,50,50,sgd,32
ASII,short,LSTM,52.010162151958504,0.37150115822827534,50,100,rmsprop,32
ASII,short,GRU,56.25930423951666,0.4018521731394055,50,100,rmsprop,32
ASII,short,RNN,92.02649839692606,0.5358546701113809,50,100,rmsprop,32
ASII,short,LSTM,53.75947609792956,0.38399625784235325,50,100,adam,32
ASII,short,GRU,49.914074918313815,0.3565291065593852,50,100,adam,32
ASII,short,RNN,84.05364101342428,0.4346819003062817,50,100,adam,32
ASII,short,LSTM,57.393970300031306,0.4099569307145091,50,100,sgd,32
ASII,short,GRU,53.67834390928978,0.38341674220921323,50,100,sgd,32
ASII,short,RNN,58.00673992200035,0.414333856585716,50,100,sgd,32
ASII,short,LSTM,53.01003810202439,0.37864312930017363,50,100,rmsprop,32
ASII,short,GRU,49.805747059573704,0.355755336139812,50,100,rmsprop,32
ASII,short,RNN,164.46261614169723,0.5980331346956314,50,100,rmsprop,32
ASII,short,LSTM,53.895667728473896,0.3849690552033845,50,100,adam,32
ASII,short,GRU,47.814396083859,0.34153140059899373,50,100,adam,32
ASII,short,RNN,57.79229256814257,0.4128020897724477,50,100,adam,32
ASII,short,LSTM,58.32071727383115,0.41657655195593696,50,100,sgd,32
ASII,short,GRU,53.002683013805886,0.3785905929557565,50,100,sgd,32
ASII,short,RNN,55.68670042177257,0.39776214586980496,50,100,sgd,32
ASII,short,LSTM,55.855092044417894,0.3989649431744145,100,50,rmsprop,32
ASII,short,GRU,45.77585544968592,0.3269703960691862,100,50,rmsprop,32
ASII,short,RNN,97.94218449214571,0.5391462649207605,100,50,rmsprop,32
ASII,short,LSTM,54.30337863481961,0.3878812759629979,100,50,adam,32
ASII,short,GRU,47.23798905513954,0.33741420753671214,100,50,adam,32
ASII,short,RNN,60.46771411013937,0.43191224364385394,100,50,adam,32
ASII,short,LSTM,54.422151821923286,0.38872965587088143,100,50,sgd,32
ASII,short,GRU,53.575161718918665,0.38267972656370414,100,50,sgd,32
ASII,short,RNN,45.19771843560724,0.32284084596862184,100,50,sgd,32
ASII,short,LSTM,56.168004762150275,0.4012000340153602,100,50,rmsprop,32
ASII,short,GRU,44.1225118824121,0.3151607991600875,100,50,rmsprop,32
ASII,short,RNN,81.17538203639808,0.4418764649563922,100,50,rmsprop,32
ASII,short,LSTM,54.89291805269234,0.3920922718049451,100,50,adam,32
ASII,short,GRU,50.038278839039215,0.35741627742170823,100,50,adam,32
ASII,short,RNN,63.359749293917055,0.4525696378136931,100,50,adam,32
ASII,short,LSTM,54.19061624380143,0.3870758303128679,100,50,sgd,32
ASII,short,GRU,54.49890575831843,0.3892778982737034,100,50,sgd,32
ASII,short,RNN,61.22174601514861,0.43729818582249064,100,50,sgd,32
ASII,short,LSTM,50.869946365222766,0.36335675975159126,100,100,rmsprop,32
