stock,term,algorithm,rmse,rmse_norm,epoch,unit,optimizer,batch_size
ASII,long,LSTM,205.33873059825424,0.0800038125304698,50,50,rmsprop,32
ASII,long,GRU,161.81622368938432,0.0638328298577453,50,50,rmsprop,32
ASII,long,RNN,142.27925123217761,0.05306212615024302,50,50,rmsprop,32
ASII,long,LSTM,206.69270990527392,0.07774851165942996,50,50,adam,32
ASII,long,GRU,89.28171621399444,0.03521961191873547,50,50,adam,32
ASII,long,RNN,217.97385558539554,0.08124863269050436,50,50,adam,32
ASII,long,LSTM,309.37653532089115,0.12204202576760992,50,50,sgd,32
ASII,long,GRU,178.81087196170165,0.07053683312098684,50,50,sgd,32
ASII,long,RNN,319.86790851267307,0.11995745784143688,50,50,sgd,32
ASII,long,LSTM,255.12888765334097,0.10064255923208715,50,50,rmsprop,32
ASII,long,GRU,154.7703118280426,0.05985494803805766,50,50,rmsprop,32
ASII,long,RNN,234.19677364565158,0.08710321621438002,50,50,rmsprop,32
ASII,long,LSTM,193.70392637930902,0.07641180527783392,50,50,adam,32
ASII,long,GRU,125.8544175054226,0.04964671301989056,50,50,adam,32
ASII,long,RNN,162.97818857447837,0.06331090447077621,50,50,adam,32
ASII,long,LSTM,373.4314169295972,0.14731022364086674,50,50,sgd,32
ASII,long,GRU,197.33894721170336,0.07784573854505063,50,50,sgd,32
ASII,long,RNN,329.1374489595144,0.12786156179129418,50,50,sgd,32
ASII,long,LSTM,159.06416795703106,0.0627472062946868,50,100,rmsprop,32
ASII,long,GRU,99.89505856908247,0.0394063347412554,50,100,rmsprop,32s
ASII,long,RNN,403.1862257939419,0.15639828503691033,50,100,rmsprop,32
ASII,long,LSTM,166.54947513899194,0.06318968839049793,50,100,adam,32
ASII,long,GRU,82.13999493616274,0.03235852359434684,50,100,adam,32
ASII,long,RNN,403.2007233379526,0.13669877856624796,50,100,adam,32
ASII,long,LSTM,306.08666001408415,0.12074424458149276,50,100,sgd,32
ASII,long,GRU,192.29624745061128,0.07585650787006362,50,100,sgd,32
ASII,long,RNN,215.69218130408373,0.08253869193952477,50,100,sgd,32
ASII,long,LSTM,388.55314207953137,0.13781541794106317,50,100,rmsprop,32
ASII,long,GRU,271.8148311917889,0.10722478547999562,50,100,rmsprop,32
ASII,long,RNN,514.6613200649817,0.18054165654523902,50,100,rmsprop,32
ASII,long,LSTM,170.74506044961626,0.06620045249860741,50,100,adam,32
ASII,long,GRU,103.00706286791315,0.04033269452760851,50,100,adam,32
ASII,long,RNN,429.58351301206693,0.14113271252772813,50,100,adam,32
ASII,long,LSTM,317.4914172674753,0.12524316263016777,50,100,sgd,32
ASII,long,GRU,203.2669971072021,0.08018421976615467,50,100,sgd,32
ASII,long,RNN,418.36362453732085,0.1471104378246545,50,100,sgd,32
ASII,long,LSTM,141.19944704230355,0.055686850275421564,100,50,rmsprop,32
ASII,long,GRU,128.56352127551247,0.05071539300809169,100,50,rmsprop,32
ASII,long,RNN,172.33032358684284,0.06658638976257396,100,50,rmsprop,32
ASII,long,LSTM,112.96687511331335,0.04379405628774204,100,50,adam,32
ASII,long,GRU,71.03478950760557,0.027910282389049662,100,50,adam,32
ASII,long,RNN,205.2825457676753,0.07677325825790851,100,50,adam,32
ASII,long,LSTM,240.67321226058095,0.09494012317971634,100,50,sgd,32
ASII,long,GRU,193.08818570489564,0.0761689095482823,100,50,sgd,32
ASII,long,RNN,225.27224767199132,0.08780138604062458,100,50,sgd,32
ASII,long,LSTM,168.36058246129974,0.06641443095120304,100,50,rmsprop,32
ASII,long,GRU,110.0510907605789,0.04341265907715142,100,50,rmsprop,32
ASII,long,RNN,86.45291382334153,0.033472538070663006,100,50,rmsprop,32
ASII,long,LSTM,136.81157817551428,0.05396906436903915,100,50,adam,32
ASII,long,GRU,131.82475881008676,0.050341898218893864,100,50,adam,32
ASII,long,RNN,260.4552085709941,0.09590494358538444,100,50,adam,32
GOTO,short,LSTM,12.941744992801665,0.1544725450633453,50,50,rmsprop,32
GOTO,short,GRU,15.71463925170488,0.1838290028596443,50,50,rmsprop,32
GOTO,short,RNN,18.72812013719535,0.19716261776209498,50,50,rmsprop,32
GOTO,short,LSTM,7.648746239795333,0.09806084922814529,50,50,adam,32
GOTO,short,GRU,7.3850791533835665,0.08915389932437989,50,50,adam,32
GOTO,short,RNN,18.620068856757225,0.14786810572930495,50,50,adam,32
GOTO,short,LSTM,12.159341226834218,0.15588899008761817,50,50,sgd,32
GOTO,short,GRU,6.766678561796342,0.08675228925379926,50,50,sgd,32
GOTO,short,RNN,25.345612669223872,0.2576548518529658,50,50,sgd,32
GOTO,short,LSTM,11.450204369504517,0.1467974919167246,50,50,rmsprop,32
GOTO,short,GRU,5.897508006755368,0.07490783378013488,50,50,rmsprop,32
GOTO,short,RNN,4.73701787525545,0.05658004794346778,50,50,rmsprop,32
GOTO,short,LSTM,10.331637727279292,0.1324568939394781,50,50,adam,32
GOTO,short,GRU,6.855792868468049,0.08789478036497499,50,50,adam,32
GOTO,short,RNN,14.3420015618362,0.13073392642232282,50,50,adam,32
